"Codice Ateco 2007",Descrizione,Aggiornamento
64.99.3,Attività di merchant bank,
64.99.30,Attività di merchant bank,
64.99.4,Attività delle società veicolo,
64.99.40,Attività delle società veicolo,
64.99.5,Attività di intermediazione in cambi,
64.99.50,Attività di intermediazione in cambi,
64.99.6,Altre intermediazioni finanziarie nca,
64.99.60,Altre intermediazioni finanziarie nca,
65,"ASSICURAZIONI, RIASSICURAZIONI E FONDI PENSIONE (ESCLUSE LE ASSICURAZIONI SOCIALI OBBLIGATORIE)",
65.1,ASSICURAZIONI,
65.11,Assicurazioni sulla vita,
65.11.0,Assicurazioni sulla vita,
65.11.00,Assicurazioni sulla vita,
65.12,Assicurazioni diverse da quelle sulla vita,
65.12.0,Assicurazioni diverse da quelle sulla vita,
65.12.00,Assicurazioni diverse da quelle sulla vita,
65.2,RIASSICURAZIONI,
65.20,Riassicurazioni,
65.20.0,Attività di riassicurazione,
65.20.00,Attività di riassicurazione,
65.3,FONDI PENSIONE,
65.30,Fondi pensione ,
65.30.1,Attività dei fondi pensione aperti,
65.30.10,Attività dei fondi pensione aperti,
65.30.2,Attività dei fondi pensione negoziali,
65.30.20,Attività dei fondi pensione negoziali,
65.30.3,Attività dei fondi pensione preesistenti,
65.30.30,Attività dei fondi pensione preesistenti,
66,ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE,
66.1,ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE),
66.11,Amministrazione di mercati finanziari,
66.11.0,Amministrazione di mercati finanziari,
66.11.00,Amministrazione di mercati finanziari,
66.12,Attività di negoziazione di contratti relativi a titoli e merci,
66.12.0,Attività di negoziazione di contratti relativi a titoli e merci,
66.12.00,Attività di negoziazione di contratti relativi a titoli e merci,
66.19,Altre attività ausiliarie dei servizi finanziari (escluse le assicurazioni e i fondi pensione),
66.19.1,Attività di gestione ed elaborazione di pagamenti tramite carta di credito,
66.19.10,Attività di gestione ed elaborazione di pagamenti tramite carta di credito,
66.19.2,Attività di promotori e mediatori finanziari,
66.19.21,Promotori finanziari,
66.19.22,"Agenti, mediatori e procacciatori in prodotti finanziari",
66.19.3,Attività delle società fiduciarie di amministrazione,
66.19.30,Attività delle società fiduciarie di amministrazione,
66.19.4,Attività di Bancoposta,
66.19.40,Attività di Bancoposta,
66.19.5,Servizi di trasferimento di denaro (money transfer),
66.19.50,Servizi di trasferimento di denaro (money transfer),
66.2,ATTIVITÀ AUSILIARIE DELLE ASSICURAZIONI E DEI FONDI PENSIONE,
66.21,Valutazione dei rischi e dei danni,
66.21.0,Attività dei periti e liquidatori indipendenti delle assicurazioni,
66.21.00,Attività dei periti e liquidatori indipendenti delle assicurazioni,
66.22,Attività di agenti e mediatori di assicurazioni,
66.22.0,Attività degli agenti e broker delle assicurazioni,
66.22.01,Broker di assicurazioni,
66.22.02,Agenti di assicurazioni,
66.22.03,Sub-agenti di assicurazioni,
66.22.04,"Produttori, procacciatori ed altri intermediari delle assicurazioni",
66.29,Altre attività ausiliarie delle assicurazioni e dei fondi pensione,
66.29.0,Altre attività ausiliarie delle assicurazioni e dei fondi pensione,
66.29.01,Autorità centrali di vigilanza su assicurazioni e fondi pensione,
66.29.09,Altre attività ausiliarie delle assicurazioni e dei fondi pensione nca,
66.3,ATTIVITÀ DI GESTIONE DEI FONDI,
66.30,Attività di gestione dei fondi,
66.30.0,Gestione di fondi comuni di investimento e dei fondi pensione,
66.30.00,Gestione di fondi comuni di investimento e dei fondi pensione,
L,ATTIVITA' IMMOBILIARI,
68,ATTIVITÀ IMMOBILIARI,
68.1,COMPRAVENDITA DI BENI IMMOBILI EFFETTUATA SU BENI PROPRI,
68.10,Compravendita di beni immobili effettuata su beni propri,
68.10.0,Compravendita di beni immobili effettuata su beni propri,
68.10.00,Compravendita di beni immobili effettuata su beni propri,
68.2,AFFITTO E GESTIONE DI IMMOBILI DI PROPRIETÀ O IN LEASING ,
68.20,Affitto e gestione di immobili di proprietà o in leasing,
68.20.0,Affitto e gestione di immobili di proprietà o in leasing,
68.20.01,Locazione immobiliare di beni propri o in leasing (affitto),
68.20.02,Affitto di aziende,
68.3,ATTIVITÀ IMMOBILIARI PER CONTO TERZI,
68.31,Attività di mediazione immobiliare,
68.31.0,Attività di mediazione immobiliare,
68.31.00,Attività di mediazione immobiliare,
68.32,Gestione di immobili per conto terzi,
68.32.0,Amministrazione di condomini e gestione di beni immobili per conto terzi,
68.32.00,Amministrazione di condomini e gestione di beni immobili per conto terzi,
M,"ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE",
69,ATTIVITÀ LEGALI E CONTABILITÀ,
69.1,ATTIVITÀ DEGLI STUDI LEGALI,
69.10,Attività degli studi legali e notarili,
69.10.1,Attività degli studi legali,
69.10.10,Attività degli studi legali,
69.10.2,Attività degli studi notarili,
69.10.20,Attività degli studi notarili,
69.2,"CONTABILITÀ, CONTROLLO E REVISIONE CONTABILE, CONSULENZA IN MATERIA FISCALE E DEL LAVORO",
69.20,"Contabilità, controllo e revisione contabile, consulenza in materia fiscale e del lavoro",
69.20.1,"Attività degli studi commerciali, tributari e revisione contabile",
69.20.11,Servizi forniti da dottori commercialisti,
69.20.12,Servizi forniti da ragionieri e periti commerciali,
69.20.13,"Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi",
69.20.14,Attività svolta dai Centri di assistenza fiscale (Caf),
69.20.15,Gestione ed amministrazione del personale per conto terzi,
69.20.2,Attività delle società di revisione e certificazione di bilanci,
69.20.20,Attività delle società di revisione e certificazione di bilanci,
69.20.3,Attività dei consulenti del lavoro,
69.20.30,Attività dei consulenti del lavoro,
70,ATTIVITÀ DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE ,
70.1,ATTIVITÀ DI DIREZIONE AZIENDALE,
70.10,Attività delle holding impegnate nelle attività gestionali (holding operative),
70.10.0,Attività delle holding impegnate nelle attività gestionali (holding operative),
70.10.00,Attività delle holding impegnate nelle attività gestionali (holding operative),
70.2,ATTIVITÀ DI CONSULENZA GESTIONALE,
70.21,Pubbliche relazioni e comunicazione,
70.21.0,Pubbliche relazioni e comunicazione,
70.21.00,Pubbliche relazioni e comunicazione,
70.22,Consulenza imprenditoriale e altra consulenza amministrativo-gestionale,
70.22.0,Consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,
70.22.01,Attività di consulenza per la gestione della logistica aziendale,
70.22.09,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,
71,ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE,
71.1,"ATTIVITÀ DEGLI STUDI DI ARCHITETTURA, INGEGNERIA ED ALTRI STUDI TECNICI",
71.11,Attività degli studi di architettura,
71.11.0,Attività degli studi di architettura,
71.11.00,Attività degli studi di architettura,
71.12,Attività degli studi d'ingegneria ed altri studi tecnici,
71.12.1,Attività degli studi di ingegneria,
71.12.10,Attività degli studi di ingegneria,
71.12.2,Servizi di progettazione di ingegneria integrata,
71.12.20,Servizi di progettazione di ingegneria integrata,
71.12.3,Attività tecniche svolte da geometri,
71.12.30,Attività tecniche svolte da geometri,
71.12.4,Attività di cartografia e aerofotogrammetria,
71.12.40,Attività di cartografia e aerofotogrammetria,
71.12.5,Attività di studio geologico e di prospezione geognostica e mineraria,
71.12.50,Attività di studio geologico e di prospezione geognostica e mineraria,
71.2,COLLAUDI ED ANALISI TECNICHE,
71.20,Collaudi ed analisi tecniche,
71.20.1,Collaudi ed analisi tecniche di prodotti,
71.20.10,Collaudi e analisi tecniche di prodotti,
71.20.2,"Controllo di qualità e certificazione di prodotti, processi e sistemi",
71.20.21,"Controllo di qualità e certificazione di prodotti, processi e sistemi",
71.20.22,Attività per la tutela di beni di produzione controllata,
72,RICERCA SCIENTIFICA E SVILUPPO,
72.1,RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA,
72.11,Ricerca e sviluppo sperimentale nel campo delle biotecnologie,
72.11.0,Ricerca e sviluppo sperimentale nel campo delle biotecnologie,
72.11.00,Ricerca e sviluppo sperimentale nel campo delle biotecnologie,
72.19,Altre attività di ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria,
72.19.0,Altre attività di ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria,
72.19.01,Ricerca e sviluppo sperimentale nel campo della geologia,
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,
72.2,RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE SOCIALI E UMANISTICHE,
72.20,Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche,
72.20.0,Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche,
72.20.00,Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche,
73,PUBBLICITÀ E RICERCHE DI MERCATO,
73.1,PUBBLICITÀ,
73.11,Agenzie pubblicitarie,
73.11.0,Agenzie pubblicitarie,
73.11.01,Ideazione di campagne pubblicitarie,
73.11.02,Conduzione di campagne di marketing e altri servizi pubblicitari,
73.12,Attività delle concessionarie e degli altri intermediari di servizi pubblicitari,
73.12.0,Attività delle concessionarie e degli altri intermediari di servizi pubblicitari,
73.12.00,Attività delle concessionarie e degli altri intermediari di servizi pubblicitari,
73.2,RICERCHE DI MERCATO E SONDAGGI DI OPINIONE,
73.20,Ricerche di mercato e sondaggi di opinione,
73.20.0,Ricerche di mercato e sondaggi di opinione,
73.20.00,Ricerche di mercato e sondaggi di opinione,
74,"ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE",
74.1,ATTIVITÀ DI DESIGN SPECIALIZZATE,
74.10,Attività di design specializzate,
74.10.1,Attività di design di moda e design industriale,
74.10.10,Attività di design di moda e design industriale,
74.10.2,Attività dei disegnatori grafici,
74.10.21,Attività dei disegnatori grafici di pagine web,
74.10.29,Altre attività dei disegnatori grafici,
74.10.3,Attività dei disegnatori tecnici,
74.10.30,Attività dei disegnatori tecnici,
74.10.9,Altre attività di design,
74.10.90,Altre attività di design,
74.2,ATTIVITÀ FOTOGRAFICHE,
74.20,Attività fotografiche,
74.20.1,Attività di riprese fotografiche,
74.20.11,Attività di fotoreporter,
74.20.12,Attività di riprese aeree nel campo della fotografia,
74.20.19,Altre attività di riprese fotografiche,
74.20.2,Laboratori fotografici per lo sviluppo e la stampa,
74.20.20,Laboratori fotografici per lo sviluppo e la stampa,
74.3,TRADUZIONE E INTERPRETARIATO,
74.30,Traduzione e interpretariato,
74.30.0,Traduzione e interpretariato,
74.30.00,Traduzione e interpretariato,
74.9,"ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE NCA",
74.90,"Altre attività professionali, scientifiche e tecniche nca",
74.90.1,Consulenza agraria,
74.90.11,Consulenza agraria fornita da agronomi,
74.90.12,Consulenza agraria fornita da agrotecnici e periti agrari,
74.90.2,Consulenza in materia di sicurezza,
74.90.21,Consulenza sulla sicurezza ed igiene dei posti di lavoro,
74.90.29,Altra attività di consulenza in materia di sicurezza,
74.90.9,"Altre attività di assistenza e consulenza professionale, scientifica e tecnica nca",
74.90.91,Attività tecniche svolte da periti industriali,
74.90.92,Attività riguardanti le previsioni meteorologiche,
74.90.93,Altre attività di consulenza tecnica nca,
74.90.94,Agenzie ed agenti o procuratori per lo spettacolo e lo sport,
74.90.99,Altre attività professionali nca,
75,SERVIZI VETERINARI,
75.0,SERVIZI VETERINARI,
75.00,Servizi veterinari,
75.00.0,Servizi veterinari,
75.00.00,Servizi veterinari,
N,"NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE",
77,ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO,
77.1,NOLEGGIO DI AUTOVEICOLI,
77.11,Noleggio di autovetture ed autoveicoli leggeri,
77.11.0,Noleggio di autovetture ed autoveicoli leggeri,
77.11.00,Noleggio di autovetture ed autoveicoli leggeri,
77.12,Noleggio di autocarri e di altri veicoli pesanti,
77.12.0,Noleggio di autocarri e di altri veicoli pesanti,
77.12.00,Noleggio di autocarri e di altri veicoli pesanti,
77.2,NOLEGGIO DI BENI PER USO PERSONALE E PER LA CASA,
77.21,Noleggio di attrezzature sportive e ricreative,
77.21.0,Noleggio di attrezzature sportive e ricreative,
77.21.01,Noleggio di biciclette,
77.21.02,Noleggio senza equipaggio di imbarcazioni da diporto (inclusi i pedalò),
77.21.09,Noleggio di altre attrezzature sportive e ricreative,
77.22,Noleggio di videocassette e dischi,
77.22.0,"Noleggio di videocassette, Cd, Dvd e dischi contenenti audiovisivi o videogame",
77.22.00,"Noleggio di videocassette, Cd, Dvd e dischi contenenti audiovisivi o videogame",
77.29,Noleggio di altri beni per uso personale e domestico (escluse le attrezzature sportive e ricreative),
77.29.1,"Noleggio di biancheria da tavola, da letto, da bagno e di articoli di vestiario",
77.29.10,"Noleggio di biancheria da tavola, da letto, da bagno e di articoli di vestiario",
77.29.9,Noleggio di altri beni per uso personale e domestico nca (escluse le attrezzature sportive e ricreative),
77.29.90,Noleggio di altri beni per uso personale e domestico nca (escluse le attrezzature sportive e ricreative),
77.3,"NOLEGGIO DI ALTRE MACCHINE, ATTREZZATURE E BENI MATERIALI",
77.31,Noleggio di macchine e attrezzature agricole,
77.31.0,Noleggio di macchine e attrezzature agricole,
77.31.00,Noleggio di macchine e attrezzature agricole,
77.32,Noleggio di macchine e attrezzature per lavori edili e di genio civile,
77.32.0,Noleggio di macchine e attrezzature per lavori edili e di genio civile,
77.32.00,Noleggio di macchine e attrezzature per lavori edili e di genio civile,
77.33,Noleggio di macchine e attrezzature per ufficio (inclusi i computer),
77.33.0,Noleggio di macchine e attrezzature per ufficio (inclusi i computer),
77.33.00,Noleggio di macchine e attrezzature per ufficio (inclusi i computer),
77.34,Noleggio di mezzi di trasporto marittimo e fluviale ,
77.34.0,Noleggio di mezzi di trasporto marittimo e fluviale,
77.34.00,Noleggio di mezzi di trasporto marittimo e fluviale,
77.35,Noleggio di mezzi di trasporto aereo,
77.35.0,Noleggio di mezzi di trasporto aereo,
77.35.00,Noleggio di mezzi di trasporto aereo,
77.39,"Noleggio di altre macchine, attrezzature e beni materiali nca",
77.39.1,Noleggio di altri mezzi di trasporto terrestri,
77.39.10,Noleggio di altri mezzi di trasporto terrestri,
77.39.9,Noleggio di altre macchine e attrezzature,
77.39.91,Noleggio di container adibiti ad alloggi o ad uffici,
77.39.92,Noleggio di container per diverse modalità di trasporto,
77.39.93,"Noleggio senza operatore di attrezzature di sollevamento e movimentazione merci: carrelli elevatori, pallet eccetera",
77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",
77.39.99,Noleggio senza operatore di altre macchine ed attrezzature nca,
77.4,CONCESSIONE DEI DIRITTI DI SFRUTTAMENTO DI PROPRIETÀ INTELLETTUALE E PRODOTTI SIMILI (ESCLUSE LE OPERE PROTETTE DAL COPYRIGHT),
77.40,Concessione dei diritti di sfruttamento di proprietà intellettuale e prodotti simili (escluse le opere protette dal copyright),
77.40.0,Concessione dei diritti di sfruttamento di proprietà intellettuale e prodotti simili (escluse le opere protette dal copyright),
77.40.00,Concessione dei diritti di sfruttamento di proprietà intellettuale e prodotti simili (escluse le opere protette dal copyright),
78,"ATTIVITÀ DI RICERCA, SELEZIONE, FORNITURA DI PERSONALE ",
78.1,ATTIVITÀ DI AGENZIE DI COLLOCAMENTO,
78.10,Attività di agenzie di collocamento,
78.10.0,"Servizi di ricerca, selezione, collocamento e supporto per il ricollocamento di personale",
78.10.00,"Servizi di ricerca, selezione, collocamento e supporto per il ricollocamento di personale",
78.2,ATTIVITÀ DELLE AGENZIE DI LAVORO TEMPORANEO (INTERINALE),
78.20,Attività delle agenzie di lavoro temporaneo (interinale),
78.20.0,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),
78.20.00,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),
78.3,ALTRE ATTIVITÀ DI FORNITURA E GESTIONE DI RISORSE UMANE,
78.30,Altre attività di fornitura e gestione di risorse umane,
78.30.0,Altre attività di fornitura e gestione di risorse umane (staff leasing),
78.30.00,Altre attività di fornitura e gestione di risorse umane (staff leasing),
79,"ATTIVITÀ DEI SERVIZI DELLE AGENZIE DI VIAGGIO, DEI TOUR OPERATOR E SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE",
79.1,ATTIVITÀ DELLE AGENZIE DI VIAGGIO E DEI TOUR OPERATOR,
79.11,Attività delle agenzie di viaggio,
79.11.0,Attività delle agenzie di viaggio,
79.11.00,Attività delle agenzie di viaggio,
79.12,Attività dei tour operator,
79.12.0,Attività dei tour operator,
79.12.00,Attività dei tour operator,
79.9,ALTRI SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE,
79.90,Altri servizi di prenotazione e altre attività di assistenza turistica non svolte dalle agenzie di viaggio,
79.90.1,Altri servizi di prenotazione e altre attività di assistenza turistica non svolte dalle agenzie di viaggio,
79.90.11,"Servizi di biglietteria per eventi teatrali, sportivi ed altri eventi ricreativi e d'intrattenimento",
79.90.19,Altri servizi di prenotazione e altre attività di assistenza turistica non svolte dalle agenzie di viaggio nca,
79.90.2,Attività delle guide e degli accompagnatori turistici,
79.90.20,Attività delle guide e degli accompagnatori turistici,
80,SERVIZI DI VIGILANZA E INVESTIGAZIONE,
80.1,SERVIZI DI VIGILANZA PRIVATA,
80.10,Servizi di vigilanza privata,
80.10.0,Servizi di vigilanza privata,
80.10.00,Servizi di vigilanza privata,
80.2,SERVIZI CONNESSI AI SISTEMI DI VIGILANZA,
80.20,Servizi connessi ai sistemi di vigilanza,
80.20.0,Servizi connessi ai sistemi di vigilanza,
80.20.00,Servizi connessi ai sistemi di vigilanza,
80.3,SERVIZI INVESTIGATIVI PRIVATI,
80.30,Servizi investigativi privati,
80.30.0,Servizi di investigazione privata,
80.30.00,Servizi di investigazione privata,
81,ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO,
81.1,SERVIZI INTEGRATI DI GESTIONE AGLI EDIFICI,
81.10,Servizi integrati di gestione agli edifici,
81.10.0,Servizi integrati di gestione agli edifici,
81.10.00,Servizi integrati di gestione agli edifici,
81.2,ATTIVITÀ DI PULIZIA E DISINFESTAZIONE,
81.21,Pulizia generale (non specializzata) di edifici,
81.21.0,Pulizia generale (non specializzata) di edifici,
81.21.00,Pulizia generale (non specializzata) di edifici,
81.22,Attività di pulizia specializzata di edifici e di impianti e macchinari industriali,
81.22.0,Attività di pulizia specializzata di edifici e di impianti e macchinari industriali,
81.22.01,Attività di sterilizzazione di attrezzature medico sanitarie,
81.22.02,Altre attività di pulizia specializzata di edifici e di impianti e macchinari industriali,
81.29,Altre attività di pulizia,
81.29.1,Servizi di disinfestazione,
81.29.10,Servizi di disinfestazione,
81.29.9,Attività di pulizia nca,
81.29.91,"Pulizia e lavaggio di aree pubbliche, rimozione di neve e ghiaccio",
81.29.99,Altre attività di pulizia nca,
81.3,CURA E MANUTENZIONE DEL PAESAGGIO,
81.30,Cura e manutenzione del paesaggio,
81.30.0,"Cura e manutenzione del paesaggio (inclusi parchi, giardini e aiuole)",
81.30.00,"Cura e manutenzione del paesaggio (inclusi parchi, giardini e aiuole)",
82,ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERVIZI DI SUPPORTO ALLE IMPRESE,
82.1,ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO,
82.11,Servizi integrati di supporto per le funzioni d'ufficio,
82.11.0,Servizi integrati di supporto per le funzioni d'ufficio; uffici-residence,
82.11.01,Servizi integrati di supporto per le funzioni d'ufficio,
82.11.02,"Gestione di uffici temporanei, uffici residence",
82.19,"Servizi di fotocopiatura, preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio",
82.19.0,"Servizi di fotocopiatura, preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio",
82.19.01,"Spedizione di materiale propagandistico, compilazione e gestione di indirizzi",
82.19.09,"Servizi di fotocopiatura, preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio",
82.2,ATTIVITÀ DEI CALL CENTER,
82.20,Attività dei call center,
82.20.0,Attività dei call center,
82.20.00,Attività dei call center,
82.3,ORGANIZZAZIONE DI CONVEGNI E FIERE,
82.30,Organizzazione di convegni e fiere,
82.30.0,Organizzazione di convegni e fiere,
82.30.00,Organizzazione di convegni e fiere,
82.9,SERVIZI DI SUPPORTO ALLE IMPRESE NCA,
82.91,Attività di agenzie di recupero crediti; agenzie di informazioni commerciali,
82.91.1,Attività di agenzie di recupero crediti,
82.91.10,Attività di agenzie di recupero crediti,
82.91.2,Agenzie di informazioni commerciali,
82.91.20,Agenzie di informazioni commerciali,
82.92,Attività di imballaggio e confezionamento per conto terzi,
82.92.1,Imballaggio e confezionamento di generi alimentari,
82.92.10,Imballaggio e confezionamento di generi alimentari,
82.92.2,Imballaggio e confezionamento di generi non alimentari,
82.92.20,Imballaggio e confezionamento di generi non alimentari,
82.99,Altri servizi di supporto alle imprese nca,
82.99.1,Imprese di gestione esattoriale,
82.99.10,Imprese di gestione esattoriale,
82.99.2,"Agenzie di distribuzione di libri, giornali e riviste",
82.99.20,"Agenzie di distribuzione di libri, giornali e riviste",
82.99.3,Servizi di gestione di pubblici mercati e pese pubbliche,
82.99.30,Servizi di gestione di pubblici mercati e pese pubbliche,
82.99.4,Richiesta certificati e disbrigo pratiche,
82.99.40,Richiesta certificati e disbrigo pratiche,
82.99.9,Altri servizi di sostegno alle imprese,
82.99.91,Servizi di stenotipia,
82.99.99,Altri servizi di sostegno alle imprese nca,
O,AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA,
84,AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA,
84.1,"AMMINISTRAZIONE PUBBLICA: AMMINISTRAZIONE GENERALE, ECONOMICA E SOCIALE",
84.11,Attività generali di amministrazione pubblica,
84.11.1,"Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",
84.11.10,"Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",
84.11.2,Attività di pianificazione generale e servizi statistici generali,
84.11.20,Attività di pianificazione generale e servizi statistici generali,
84.12,"Regolamentazione delle attività relative alla fornitura di servizi di assistenza sanitaria, dell'istruzione, di servizi culturali e ad altri servizi sociali (esclusa l'assicurazione sociale obbligatoria)",
84.12.1,Regolamentazione dell'attività degli organismi preposti alla sanità,
84.12.10,Regolamentazione dell'attività degli organismi preposti alla sanità,
84.12.2,Regolamentazione dell'attività degli organismi preposti all'istruzione,
84.12.20,Regolamentazione dell'attività degli organismi preposti all'istruzione,
84.12.3,Regolamentazione dell'attività degli organismi preposti alla gestione di progetti per l'edilizia abitativa e l'assetto del territorio e per la tutela dell'ambiente,
84.12.30,Regolamentazione dell'attività degli organismi preposti alla gestione di progetti per l'edilizia abitativa e l'assetto del territorio e per la tutela dell'ambiente,
84.12.4,"Regolamentazione dell'attività degli organismi preposti ai servizi ricreativi, culturali e sociali vari",
84.12.40,"Regolamentazione dell'attività degli organismi preposti ai servizi ricreativi, culturali e sociali vari",
84.13,Regolamentazione delle attività che contribuiscono ad una più efficiente gestione delle attività economiche,
84.13.1,Regolamentazione degli affari concernenti i combustibili e l'energia,
84.13.10,Regolamentazione degli affari concernenti i combustibili e l'energia,
84.13.2,"Regolamentazione degli affari e servizi concernenti l'agricoltura, silvicoltura, caccia e pesca",
84.13.20,"Regolamentazione degli affari e servizi concernenti l'agricoltura, silvicoltura, caccia e pesca",
84.13.3,"Regolamentazione degli affari e dei servizi concernenti le industrie estrattive e le risorse minerarie (eccetto i combustibili) le industrie manifatturiere, le costruzioni e le opere pubbliche ad eccezione delle strade e opere per la navigazione",
84.13.30,"Regolamentazione degli affari e dei servizi concernenti le industrie estrattive e le risorse minerarie (eccetto i combustibili) le industrie manifatturiere, le costruzioni e le opere pubbliche ad eccezione delle strade e opere per la navigazione",
84.13.4,Regolamentazione degli affari e servizi concernenti la costruzione di strade,
84.13.40,Regolamentazione degli affari e servizi concernenti la costruzione di strade,
84.13.5,Regolamentazione degli affari e servizi concernenti la costruzione di opere per la navigazione interna e marittima,
84.13.50,Regolamentazione degli affari e servizi concernenti la costruzione di opere per la navigazione interna e marittima,
84.13.6,Regolamentazione degli affari e servizi concernenti i trasporti e le comunicazioni,
84.13.60,Regolamentazione degli affari e servizi concernenti i trasporti e le comunicazioni,
84.13.7,Regolamentazione degli affari e servizi concernenti il commercio interno,
84.13.70,Regolamentazione degli affari e servizi concernenti il commercio interno,
84.13.8,Regolamentazione degli affari e servizi concernenti il turismo,
84.13.80,Regolamentazione degli affari e servizi concernenti il turismo,
84.13.9,Regolamentazione di altri affari e servizi economici,
84.13.90,Regolamentazione di altri affari e servizi economici,
84.2,SERVIZI COLLETTIVI DELLE AMMINISTRAZIONI PUBBLICHE,
84.21,Affari esteri,
84.21.0,Affari esteri,
84.21.00,Affari esteri,
84.22,Difesa nazionale,
84.22.0,Difesa nazionale,
84.22.00,Difesa nazionale,
84.23,Giustizia ed attività giudiziarie,
84.23.0,Giustizia ed attività giudiziarie,
84.23.00,Giustizia ed attività giudiziarie,
84.24,Ordine pubblico e sicurezza nazionale,
84.24.0,Ordine pubblico e sicurezza nazionale,
84.24.00,Ordine pubblico e sicurezza nazionale,
84.25,Attività dei vigili del fuoco e della protezione civile,
84.25.1,Attività dei vigili del fuoco,
84.25.10,Attività dei vigili del fuoco,
84.25.2,Attività di protezione civile,
84.25.20,Attività di protezione civile,
84.3,ASSICURAZIONE SOCIALE OBBLIGATORIA,
84.30,Assicurazione sociale obbligatoria ,
84.30.0,Assicurazione sociale obbligatoria,
84.30.00,Assicurazione sociale obbligatoria,
P,ISTRUZIONE,
85,ISTRUZIONE,
85.1,ISTRUZIONE PRESCOLASTICA,
85.10,Istruzione prescolastica,
85.10.0,"Istruzione di grado preparatorio: scuole dell'infanzia, scuole speciali collegate a quelle primarie",
85.10.00,"Istruzione di grado preparatorio: scuole dell'infanzia, scuole speciali collegate a quelle primarie",
85.2,ISTRUZIONE PRIMARIA ,
85.20,Istruzione primaria,
85.20.0,Istruzione primaria: scuole elementari,
85.20.00,Istruzione primaria: scuole elementari,
85.3,ISTRUZIONE SECONDARIA,
85.31,Istruzione secondaria di formazione generale,
85.31.1,Istruzione secondaria di primo grado: scuole medie,
85.31.10,Istruzione secondaria di primo grado: scuole medie,
85.31.2,Istruzione secondaria di secondo grado di formazione generale: licei,
85.31.20,Istruzione secondaria di secondo grado di formazione generale: licei,
85.32,Istruzione secondaria tecnica e professionale,
85.32.0,"Istruzione secondaria di secondo grado di formazione tecnica, professionale e artistica (istituti tecnici, professionali, artistici eccetera)",
85.32.01,Scuole di vela e navigazione che rilasciano brevetti o patenti commerciali,
85.32.02,Scuole di volo che rilasciano brevetti o patenti commerciali,
85.32.03,"Scuole di guida professionale per autisti, ad esempio di autocarri, di autobus e di pullman",
85.32.09,"Altra istruzione secondaria di secondo grado di formazione tecnica, professionale e artistica",
85.4,ISTRUZIONE POST-SECONDARIA UNIVERSITARIA E NON UNIVERSITARIA,
85.41,Istruzione post-secondaria non universitaria,
85.41.0,Istruzione e formazione tecnica superiore (IFTS),
